Rk|Coach|From|To|Last School|Yrs|G|W|L|T|Pct|BG|BW|BL|BT|BPct|Notes
136|Ron Cooper|1993|2016|Florida International|6|63|26|37|0|.413|0|0|0|0||
137|Bob Cope|1983|1988|Pacific|6|68|22|46|0|.324|0|0|0|0||record adjusted to 23-45-0 by NCAA
138|Harris Cope|1909|1923|Samford|10|88|48|28|12|.614|0|0|0|0||
139|John Corbett|1915|1923|Wyoming|8|62|15|44|3|.266|0|0|0|0||
140|Pete Cordelli|1991|1993|Kent State|3|33|3|30|0|.091|0|0|0|0||
141|Vaughn Corley|1948|1950|New Mexico State|3|29|9|20|0|.310|0|0|0|0||
142|Jim Corrigall|1994|1997|Kent State|4|44|8|35|1|.193|0|0|0|0||
143|Lee Corso|1969|1984|Northern Illinois|15|164|73|85|6|.463|2|1|0|1|.750|
144|Gene Corum|1960|1965|West Virginia|6|61|29|30|2|.492|1|0|1|0|.000|
145|Don Coryell|1969|1972|San Diego State|4|44|36|8|0|.818|1|1|0|0|1.000|
146|J.H. Costello|1907|1907|Bucknell|1|11|4|7|0|.364|0|0|0|0||
147|Sam Costen|1909|1910|Citadel|2|16|7|7|2|.500|0|0|0|0||
148|Barney Cotton|2014|2014|Nebraska|1|1|0|1|0|.000|1|0|1|0|.000|
149|Tom Coughlin|1991|1993|Boston College|3|35|21|13|1|.614|2|1|1|0|.500|
150|James Coulter|1909|1909|Georgia|1|7|1|4|2|.286|0|0|0|0||
151|John Counselman|1907|1907|Samford|1|7|2|5|0|.286|0|0|0|0||
152|William Courtright|1924|1926|Colorado Mines|3|25|7|17|1|.300|0|0|0|0||
153|Steve Coutchie|1946|1946|Arizona State|1|11|2|7|2|.273|0|0|0|0||
154|Charlie Cowdrey|1977|1980|Illinois State|4|44|12|31|1|.284|0|0|0|0||
155|Roland Cowell|1922|1923|Mississippi|2|20|8|11|1|.425|0|0|0|0||
156|Ted Cox|1932|1938|Oklahoma State|7|70|35|33|2|.514|1|1|0|0|1.000|
157|Carmen Cozza|1965|1981|Yale|17|155|114|38|3|.745|0|0|0|0||
158|Tom Craft|2002|2005|San Diego State|4|48|19|29|0|.396|0|0|0|0||
159|J.B. Craig|1919|1919|Arkansas|1|7|3|4|0|.429|0|0|0|0||
160|Walter Craig|1905|1905|Massachusetts|1|10|3|7|0|.300|0|0|0|0||
161|Joshua Crane|1907|1907|Harvard|1|10|7|3|0|.700|0|0|0|0||
162|John Cranston|1903|1903|Harvard|1|12|9|3|0|.750|0|0|0|0||
163|Jeff Cravath|1929|1950|Southern California|13|126|74|43|9|.623|4|2|2|0|.500|
164|Cap Craver|1904|1904|Dickinson|1|12|8|3|1|.708|0|0|0|0||
165|Charles Crawford|1910|1910|Virginia|1|8|6|2|0|.750|0|0|0|0||
166|Frank Crawford|1892|1892|Wisconsin|1|7|4|3|0|.571|0|0|0|0||
167|S.D. Crawford|1904|1904|Tennessee|1|9|3|5|1|.389|0|0|0|0||
168|Pete Crayton|1919|1919|Davidson|1|11|4|6|1|.409|0|0|0|0||
169|Chris Creighton|2014|2019|Eastern Michigan|6|75|28|47|0|.373|3|0|3|0|.000|
170|Bernie Crimmins|1952|1956|Indiana|5|45|13|32|0|.289|0|0|0|0||
171|Jim Criner|1983|1986|Iowa State|4|42|16|24|2|.405|0|0|0|0||
172|Fritz Crisler|1930|1947|Michigan|18|157|116|32|9|.768|1|1|0|0|1.000|
173|Mario Cristobal|2007|2019|Oregon|9|102|48|54|0|.471|5|3|2|0|.600|
174|Jack Croft|1936|1937|Montana State|2|16|6|9|1|.406|0|0|0|0||
175|Frederick Crolius|1899|1911|Villanova|8|59|13|42|4|.254|0|0|0|0||
176|C.E. Cronk|1904|1904|Texas Christian|1|6|1|4|1|.250|0|0|0|0||
177|Harold Crook|1907|1907|Hamilton|1|5|1|4|0|.200|0|0|0|0||
178|Thomas Crooks|1910|1910|Dickinson|1|10|3|7|0|.300|0|0|0|0||
179|Sylvester Croom|2004|2008|Mississippi State|5|59|21|38|0|.356|1|1|0|0|1.000|
180|David Cropp|1903|1904|Colorado|2|19|14|4|1|.763|0|0|0|0||
181|John Crouthamel|1971|1977|Dartmouth|7|63|41|20|2|.667|0|0|0|0||
182|John David Crow|1976|1980|Louisiana-Monroe|5|55|20|34|1|.373|0|0|0|0||
183|Eddie Crowder|1963|1973|Colorado|11|118|67|49|2|.576|5|3|2|0|.600|
184|Clem Crowe|1935|1945|Iowa|2|18|8|10|0|.444|0|0|0|0||
185|Jack Crowe|1990|1992|Arkansas|3|24|9|15|0|.375|1|0|1|0|.000|
186|Wilmer Crowell|1914|1916|Lafayette|3|30|15|12|3|.550|0|0|0|0||
187|Charles Crowley|1925|1929|Columbia|5|46|26|16|4|.609|0|0|0|0||
188|Jimmy Crowley|1929|1942|North Carolina Pre-Flight|14|120|86|23|11|.763|2|1|1|0|.500|
189|Gary Crowton|1996|2004|Brigham Young|7|83|47|36|0|.566|1|0|1|0|.000|
190|Dick Crum|1974|1990|Kent State|17|194|113|77|4|.593|8|6|2|0|.750|
191|B.C. Cubbage|1921|1925|Virginia Tech|5|48|30|12|6|.688|0|0|0|0||
192|Bill Cubit|2005|2015|Illinois|9|110|56|54|0|.509|3|0|3|0|.000|
193|Pat Culpepper|1976|1979|Northern Illinois|4|44|14|29|1|.330|0|0|0|0||
194|Alvin Culver|1895|1896|Northwestern|2|20|12|6|2|.650|0|0|0|0||
195|Bill Cunningham|1921|1921|Southern Methodist|1|8|1|6|1|.188|0|0|0|0||
196|Logan Cunningham|1912|1912|Princeton|1|9|7|1|1|.833|0|0|0|0||
197|W.A. Cunningham|1910|1919|Georgia|8|70|43|18|9|.679|0|0|0|0||
198|Fran Curci|1971|1981|Kentucky|11|122|55|65|2|.459|1|1|0|0|1.000|record adjusted to 56-64-2 by NCAA
199|Babe Curfman|1951|1953|Idaho|3|27|7|19|1|.278|0|0|0|0||
200|Raymond Curfman|1946|1947|New Mexico State|2|19|8|11|0|.421|0|0|0|0||
201|Dave Currey|1977|1988|Cincinnati|12|131|59|72|0|.450|0|0|0|0||
202|Bill Curry|1980|1996|Kentucky|17|192|83|105|4|.443|5|2|3|0|.400|
203|Jack Curtice|1941|1969|California-Santa Barbara|19|191|97|87|7|.526|2|1|1|0|.500|
204|Arthur Curtis|1902|1904|Wisconsin|3|28|17|10|1|.625|0|0|0|0||
205|Joe Curtis|1907|1908|Tulane|2|13|10|3|0|.769|0|0|0|0||
206|Phil Cutchin|1963|1968|Oklahoma State|6|59|19|38|2|.339|0|0|0|0||
207|David Cutcliffe|1998|2019|Duke|19|224|116|108|0|.518|11|7|4|0|.636|
208|Oliver Cutts|1903|1904|Purdue|2|18|13|5|0|.722|0|0|0|0||
1|Virginius Dabney|1902|1902|Tulane|1|7|1|4|2|.286|0|0|0|0||
2|John DaGrosa|1945|1947|Holy Cross|3|29|17|10|2|.621|1|0|1|0|.000|
3|Charles Daly|1913|1922|Army|6|55|45|7|3|.845|0|0|0|0||
4|Milton Daniel|1916|1917|Texas Christian|2|19|14|4|1|.763|0|0|0|0||
5|Edward Danowski|1946|1954|Fordham|9|76|29|44|3|.401|0|0|0|0||
6|Mark Dantonio|2004|2019|Michigan State|16|206|132|74|0|.641|12|7|5|0|.583|
7|Gary Darnell|1989|2004|Western Michigan|9|99|49|50|0|.495|1|0|1|0|.000|
8|Paul Dashiell|1904|1906|Navy|3|34|25|5|4|.794|0|0|0|0||
9|Ray Dauber|1931|1932|Mississippi State|2|16|5|11|0|.313|0|0|0|0||
10|Duffy Daugherty|1954|1972|Michigan State|19|183|109|69|5|.609|2|1|1|0|.500|
11|Bill Davidson|1974|1978|Arkansas State|5|54|37|17|0|.685|0|0|0|0||
12|Gar Davidson|1933|1937|Army|5|47|35|11|1|.755|0|0|0|0||
13|Bob Davie|1997|2019|New Mexico|13|159|70|89|0|.440|5|1|4|0|.200|
14|Bud Davis|1962|1962|Colorado|1|10|2|8|0|.200|0|0|0|0||
15|Butch Davis|1995|2019|Florida International|13|161|102|59|0|.634|10|6|4|0|.600|record adjusted to 86-59-0 by NCAA
16|Greg Davis|1988|1991|Tulane|4|45|14|31|0|.311|0|0|0|0||
17|Parke Davis|1893|1897|Lafayette|5|51|37|11|3|.755|0|0|0|0||
18|Paul Davis|1962|1966|Mississippi State|5|50|20|28|2|.420|1|1|0|0|1.000|
19|Paul Davis|1908|1914|Oklahoma State|2|18|11|6|1|.639|0|0|0|0||
20|Robert Davis|1947|1955|Colorado State|9|89|54|33|2|.618|1|0|1|0|.000|
21|Fred Dawson|1921|1933|Virginia|11|92|45|40|7|.527|0|0|0|0||
22|Red Dawson|1936|1954|Pittsburgh|9|80|45|30|5|.594|1|0|1|0|.000|
23|Leroy Day|1932|1934|Washington & Jefferson|3|28|11|15|2|.429|0|0|0|0||
24|Ryan Day|2018|2019|Ohio State|2|17|16|1|0|.941|1|0|1|0|.000|
25|H.I. Dean|1909|1911|Wyoming|3|24|11|12|1|.479|0|0|0|0||
26|Fisher DeBerry|1984|2006|Air Force|23|279|169|109|1|.608|12|6|6|0|.500|
27|Mike DeBord|2000|2003|Central Michigan|4|46|12|34|0|.261|0|0|0|0||
28|Quinn Decker|1946|1952|Citadel|7|63|23|39|1|.373|0|0|0|0||
29|Dudley DeGroot|1948|1952|New Mexico|5|53|26|26|1|.500|1|1|0|0|1.000|
30|Jimmy DeHart|1922|1932|Duke|11|107|51|50|6|.505|0|0|0|0||
31|Bob Deming|1969|1970|Buffalo|2|20|8|12|0|.400|0|0|0|0||
32|Bob DeMoss|1970|1972|Purdue|3|31|13|18|0|.419|0|0|0|0||
33|Rey Dempsey|1976|1985|Memphis|10|113|61|49|3|.553|0|0|0|0||
34|Mick Dennehy|2000|2004|Utah State|5|56|19|37|0|.339|0|0|0|0||
35|Jim Dennison|1975|1975|Akron|1|11|7|4|0|.636|0|0|0|0||
36|Carl DePasqua|1969|1972|Pittsburgh|4|42|13|29|0|.310|0|0|0|0||
37|J.D. DePree|1905|1906|Tennessee|2|18|4|11|3|.306|0|0|0|0||
38|Herb Deromedi|1978|1993|Central Michigan|16|175|110|55|10|.657|1|0|1|0|.000|
39|Tim DeRuyter|2011|2016|Fresno State|6|61|31|30|0|.508|4|1|3|0|.250|
40|John DeSaulles|1902|1902|Virginia|1|10|8|1|1|.850|0|0|0|0||
41|Leo DeTray|1912|1912|Mississippi|1|7|4|3|0|.571|0|0|0|0||
42|Bob Devaney|1957|1972|Nebraska|16|173|136|30|7|.806|10|7|3|0|.700|
43|Dan Devine|1955|1980|Notre Dame|22|238|172|57|9|.742|10|7|3|0|.700|record adjusted to 173-56-9 by NCAA
44|Hugh Devore|1945|1963|New York University|5|42|13|26|3|.345|0|0|0|0||
45|Vince Di Francesca|1954|1956|Iowa State|3|28|6|21|1|.232|0|0|0|0||
46|Bob Diaco|2014|2016|Connecticut|3|37|11|26|0|.297|1|0|1|0|.000|
47|Manny Diaz|2019|2019|Miami (FL)|1|13|6|7|0|.462|1|0|1|0|.000|
48|Phil Dickens|1953|1964|Indiana|11|104|49|52|3|.486|1|1|0|0|1.000|
49|George Dickerson|1958|1958|UCLA|1|3|1|2|0|.333|0|0|0|0||
50|Ron Dickerson|1993|1997|Temple|5|55|8|47|0|.145|0|0|0|0||
51|Darrell Dickey|1998|2015|Memphis|10|107|42|65|0|.393|5|1|4|0|.200|
52|Doug Dickey|1964|1978|Florida|15|168|104|58|6|.637|9|2|7|0|.222|
53|Jim Dickey|1978|1985|Kansas State|8|80|24|54|2|.313|1|0|1|0|.000|record adjusted to 25-53-2 by NCAA
54|Marvin Dickinson|1903|1905|Georgia|2|13|4|9|0|.308|0|0|0|0||
55|By Dickson|1910|1913|Bucknell|4|38|20|16|2|.553|0|0|0|0||
56|Reed Dickson|1906|1907|Maryville (TN)|2|13|3|8|2|.308|0|0|0|0||
57|G.O. Dietz|1902|1902|Drake|1|8|5|2|1|.688|0|0|0|0||
58|William Dietz|1917|1926|Wyoming|5|39|17|19|3|.474|0|0|0|0||
59|Paul Dietzel|1955|1974|South Carolina|20|209|109|95|5|.533|4|2|2|0|.500|
60|Dana Dimel|1997|2019|Texas-El Paso|8|93|32|61|0|.344|0|0|0|0||record adjusted to 33-60-0 by NCAA
61|Gerry DiNardo|1991|2004|Indiana|12|137|59|77|1|.434|3|3|0|0|1.000|record adjusted to 60-76-1 by NCAA
62|Bill Doba|2003|2007|Washington State|5|59|30|29|0|.508|1|1|0|0|1.000|
63|Glenn Dobbs|1961|1968|Tulsa|8|82|45|37|0|.549|2|1|1|0|.500|
64|Robert Dobbs|1955|1972|Texas-El Paso|14|138|71|63|4|.529|2|2|0|0|1.000|
65|Gilmour Dobie|1916|1938|Boston College|22|170|115|44|11|.709|0|0|0|0||
66|Frank Dobson|1910|1939|Maryland|15|127|58|62|7|.484|0|0|0|0||
67|Rex Dockery|1978|1983|Memphis|6|66|23|40|3|.371|0|0|0|0||
68|Bobby Dodd|1945|1966|Georgia Tech|22|237|165|64|8|.713|13|9|4|0|.692|
69|Todd Dodge|2007|2010|North Texas|4|43|6|37|0|.140|0|0|0|0||
70|Dave Doeren|2011|2019|North Carolina State|9|116|70|46|0|.603|6|4|2|0|.667|
71|Edward Doherty|1947|1975|Holy Cross|14|145|64|78|3|.452|2|0|2|0|.000|
72|Jack Doland|1975|1978|McNeese State|4|45|29|15|1|.656|1|1|0|0|1.000|
73|Bill Dole|1952|1953|Davidson|2|18|2|16|0|.111|0|0|0|0||
74|Frank Dole|1885|1887|Pennsylvania|3|43|23|19|1|.547|0|0|0|0||
75|Edward Donahue|1917|1920|Clemson|4|36|21|12|3|.625|0|0|0|0||
76|Mike Donahue|1904|1927|Louisiana State|23|184|122|54|8|.685|0|0|0|0||
77|Terry Donahue|1976|1995|UCLA|20|233|151|74|8|.665|13|8|4|1|.654|record adjusted to 144-81-8 by NCAA
78|Aldo Donelli|1939|1967|Columbia|23|202|91|104|7|.468|0|0|0|0||
79|Ray Donels|1941|1942|Iowa State|2|12|3|8|1|.292|0|0|0|0||
80|Jim Donnan|1996|2000|Georgia|5|59|40|19|0|.678|4|4|0|0|1.000|
81|James Donnelly|1910|1910|Samford|1|8|1|7|0|.125|0|0|0|0||
82|Pooch Donovan|1918|1918|Harvard|1|3|2|1|0|.667|0|0|0|0||
83|Bill Dooley|1967|1992|Wake Forest|26|293|161|127|5|.558|10|3|7|0|.300|record adjusted to 162-126-5 by NCAA
84|Derek Dooley|2007|2012|Tennessee|6|73|32|41|0|.438|2|1|1|0|.500|
85|Vince Dooley|1964|1988|Georgia|25|288|201|77|10|.715|20|8|10|2|.450|
86|Bill Doolittle|1964|1974|Western Michigan|11|109|58|49|2|.541|0|0|0|0||
87|Ray Door|1984|1985|Southern Illinois|2|22|7|15|0|.318|0|0|0|0||
88|Gus Dorais|1922|1942|Detroit Mercy|19|171|119|44|8|.719|1|0|1|0|.000|
89|Karl Dorrell|2003|2007|UCLA|5|62|35|27|0|.565|4|1|3|0|.250|
90|Otis Douglas|1950|1952|Arkansas|3|30|9|21|0|.300|0|0|0|0||
91|H.L. Dowd|1913|1913|Washington & Lee|1|9|8|1|0|.889|0|0|0|0||
92|Ron Dowhower|1979|1996|Vanderbilt|3|33|9|23|1|.288|0|0|0|0||
93|Tommy Dowler|1935|1935|William & Mary|1|10|3|4|3|.450|0|0|0|0||
94|E.S. Dowling|1910|1910|Carnegie Mellon|1|8|1|6|1|.188|0|0|0|0||
95|Dexter Draper|1909|1909|Texas|1|8|4|3|1|.563|0|0|0|0||
96|Red Drew|1924|1954|Alabama|10|107|60|39|8|.598|3|1|2|0|.333|
97|Milt Drewer|1957|1963|William & Mary|7|69|21|46|2|.319|0|0|0|0||
98|Eli Drinkwitz|2019|2019|Appalachian State|1|13|12|1|0|.923|0|0|0|0||
99|Paddy Driscoll|1937|1940|Marquette|4|34|10|23|1|.309|0|0|0|0||
100|Bill Driver|1920|1921|Texas Christian|2|20|15|4|1|.775|1|0|1|0|.000|
101|James Driver|1916|1916|Newberry|1|7|5|2|0|.714|0|0|0|0||
102|Johnny Druze|1956|1958|Marquette|3|29|2|26|1|.086|0|0|0|0||
103|F. Dry|1972|1982|Texas Christian|11|116|43|69|4|.388|1|0|1|0|.000|
104|Mike DuBose|1997|2000|Alabama|4|47|24|23|0|.511|2|0|2|0|.000|
105|Joseph Duff|1913|1914|Pittsburgh|2|18|14|3|1|.806|0|0|0|0||
106|Mark Duffner|1992|1996|Maryland|5|55|20|35|0|.364|0|0|0|0||
107|Donnie Duncan|1979|1982|Iowa State|4|44|18|24|2|.432|0|0|0|0||
108|Mark Duncan|1943|1943|Denver|1|7|2|5|0|.286|0|0|0|0||
109|Frederick Dunlap|1965|1981|Colgate|7|71|39|30|2|.563|0|0|0|0||
110|John Dunlop|1901|1901|Boston College|1|9|1|8|0|.111|0|0|0|0||
111|Eddie Dunn|1944|1944|Miami (FL)|1|9|1|7|1|.167|0|0|0|0||
112|Joe Lee Dunn|1983|1994|Mississippi|5|58|21|37|0|.362|0|0|0|0||
113|Ernie Duplechin|1979|1981|McNeese State|3|35|28|6|1|.814|2|0|2|0|.000|
114|Durkee|1887|1887|Tufts|1|9|3|6|0|.333|0|0|0|0||
115|DJ Durkin|2014|2017|Maryland|3|26|11|15|0|.423|2|1|1|0|.500|
116|Pat Dwyer|1911|1913|Louisiana State|3|25|16|7|2|.680|0|0|0|0||
117|Schubert Dyche|1928|1935|Montana State|8|63|26|33|4|.444|0|0|0|0||
118|Pat Dye|1974|1992|Auburn|19|220|153|62|5|.707|10|7|2|1|.750|
119|George Dyer|1896|1896|Army|1|6|3|2|1|.583|0|0|0|0||
120|Sonny Dykes|2010|2019|Southern Methodist|9|111|56|55|0|.505|3|1|2|0|.333|
121|Spike Dykes|1986|1999|Texas Tech|14|150|82|67|1|.550|7|2|5|0|.286|
1|Lloyd Eaton|1962|1970|Wyoming|9|92|57|33|2|.630|2|1|1|0|.500|
2|N.B. Edgerton|1912|1915|South Carolina|4|35|19|13|3|.586|0|0|0|0||
3|W.P. Edmunds|1913|1916|Washington (MO)|4|25|10|13|2|.440|0|0|0|0||
4|Randy Edsall|2000|2019|Maryland|19|225|98|127|0|.436|7|3|4|0|.429|
5|Bill Edwards|1949|1952|Vanderbilt|4|42|21|19|2|.524|0|0|0|0||
6|Earle Edwards|1954|1970|North Carolina State|17|173|77|88|8|.468|2|1|1|0|.500|
7|Herm Edwards|2018|2019|Arizona State|2|26|15|11|0|.577|2|1|1|0|.500|
8|LaVell Edwards|1972|2000|Brigham Young|29|361|257|101|3|.716|22|7|14|1|.341|
9|Jogger Elcock|1914|1921|Oglethorpe|4|35|25|7|3|.757|0|0|0|0||
10|William Elias|1960|1968|Navy|9|89|36|48|5|.433|0|0|0|0||
11|Ray Eliot|1942|1959|Illinois|18|167|83|73|11|.530|2|2|0|0|1.000|
12|Bennie Ellender|1971|1975|Tulane|5|56|27|29|0|.482|1|0|1|0|.000|
13|Rich Ellerson|2009|2013|Army|5|61|20|41|0|.328|1|1|0|0|1.000|
14|Bump Elliott|1959|1968|Michigan|10|95|51|42|2|.547|1|1|0|0|1.000|
15|Harold Elliott|1974|1981|Texas-Arlington|8|88|38|50|0|.432|0|0|0|0||
16|Pete Elliott|1956|1974|Miami (FL)|13|129|56|72|1|.438|2|1|1|0|.500|
17|Shawn Elliott|2015|2019|Georgia State|4|43|17|26|0|.395|2|1|1|0|.500|
18|Speed Elliott|1912|1912|Virginia|1|9|6|3|0|.667|0|0|0|0||
19|Frank Ellwood|1975|1978|Marshall|4|44|9|35|0|.205|0|0|0|0||
20|David Elson|2007|2009|Western Kentucky|3|36|9|27|0|.250|0|0|0|0||
21|Mal Elward|1922|1941|Purdue|7|56|21|29|6|.429|0|0|0|0||
22|Jack Elway|1979|1988|Stanford|10|112|60|49|3|.549|2|0|2|0|.000|
23|Jon Embree|2011|2012|Colorado|2|25|4|21|0|.160|0|0|0|0||
24|Robert Emmons|1895|1895|Harvard|1|11|8|2|1|.773|0|0|0|0||
25|Ed Emory|1980|1984|East Carolina|5|55|26|29|0|.473|0|0|0|0||
26|Rip Engle|1944|1965|Penn State|22|208|132|68|8|.654|4|3|1|0|.750|
27|Ron English|2009|2013|Eastern Michigan|5|57|11|46|0|.193|0|0|0|0||
28|Wally English|1983|1984|Tulane|2|22|7|15|0|.318|0|0|0|0||record adjusted to 3-19-0 by NCAA
29|Fred Enke|1931|1931|Arizona|1|9|3|5|1|.389|0|0|0|0||
30|Dan Enos|2010|2014|Central Michigan|5|62|26|36|0|.419|2|1|1|0|.500|
31|Dick Enright|1972|1973|Oregon|2|22|6|16|0|.273|0|0|0|0||
32|Rex Enright|1938|1955|Georgia Pre-Flight|16|146|69|70|7|.497|0|0|0|0||
33|Charlie Erb|1926|1928|Idaho|3|24|10|10|4|.500|0|0|0|0||
34|Eddie Erdelatz|1950|1958|Navy|9|84|50|26|8|.643|2|2|0|0|1.000|
35|Dennis Erickson|1986|2011|Arizona State|19|229|147|81|1|.644|12|5|7|0|.417|
36|Karl Esleeck|1948|1950|Richmond|3|30|10|18|2|.367|0|0|0|0||
37|Adam Esslinger|1944|1944|Denver|1|9|4|3|2|.556|0|0|0|0||
38|Irvin Etlar|1969|1969|Xavier|1|10|1|9|0|.100|0|0|0|0||
39|Bob Evans|1916|1919|Stanford|3|22|11|10|1|.523|0|0|0|0||
40|Murray Evans|1952|1954|Hardin-Simmons|3|31|15|14|2|.516|0|0|0|0||
41|Peyton Evans|1916|1916|Virginia|1|9|4|5|0|.444|0|0|0|0||
42|Forest Evashevski|1950|1960|Iowa|11|102|63|33|6|.647|2|2|0|0|1.000|
43|A.A. Ewing|1894|1894|Northwestern|1|9|4|5|0|.444|0|0|0|0||
44|Leon Excelby|1912|1912|Wyoming|1|9|2|7|0|.222|0|0|0|0||
45|Albert Exendine|1923|1935|Oklahoma State|5|43|13|25|5|.360|0|0|0|0||
1|Jack Faber|1935|1941|Maryland|3|29|12|13|4|.483|0|0|0|0||
2|David Fagg|1970|1973|Davidson|4|41|8|32|1|.207|0|0|0|0||
3|Chuck Fairbanks|1967|1981|Colorado|9|101|59|41|1|.589|5|3|1|1|.700|
4|Steve Fairchild|2008|2011|Colorado State|4|49|16|33|0|.327|1|1|0|0|1.000|
5|C.A. Fairweather|1905|1905|Washington (MO)|1|10|6|3|1|.650|0|0|0|0||
6|Don Fambrough|1971|1982|Kansas|8|90|36|49|5|.428|2|0|2|0|.000|record adjusted to 35-50-5 by NCAA
7|James Faragher|1902|1902|Notre Dame|1|9|6|2|1|.722|0|0|0|0||
8|John Farley|1902|1902|Harvard|1|12|11|1|0|.917|0|0|0|0||
9|Gus Farwick|1932|1932|Arizona|1|9|4|5|0|.444|0|0|0|0||
10|Jim Fassel|1985|1989|Utah|5|58|25|33|0|.431|0|0|0|0||
11|Russ Faulkinberry|1973|1973|Louisiana|1|10|0|10|0|.000|0|0|0|0||
12|Everett Faunce|1955|1958|Utah State|4|40|15|24|1|.388|0|0|0|0||
13|Don Faurot|1935|1956|Iowa Pre-Flight|20|200|109|81|10|.570|4|0|4|0|.000|record adjusted to 110-80-10 by NCAA
14|Gerry Faust|1981|1994|Akron|13|145|66|75|4|.469|2|1|1|0|.500|
15|Foge Fazio|1982|1985|Pittsburgh|4|46|25|18|3|.576|2|0|2|0|.000|
16|Beattie Feathers|1944|1951|North Carolina State|8|78|37|38|3|.494|1|0|1|0|.000|
17|Larry Fedora|2008|2018|North Carolina|11|141|79|62|0|.560|8|3|5|0|.375|
18|Rudy Feldman|1968|1973|New Mexico|6|63|24|37|2|.397|0|0|0|0||
19|Rockey Felker|1986|1990|Mississippi State|5|55|21|34|0|.382|0|0|0|0||
20|Felton|1913|1913|West Virginia Wesleyan|1|8|5|3|0|.625|0|0|0|0||
21|John Fenlon|1942|1947|Richmond|3|30|12|15|3|.450|0|0|0|0||
22|Tom Fennell|1904|1908|Penn State|5|51|33|17|1|.657|0|0|0|0||
23|Gustave Ferbert|1897|1899|Michigan|3|28|24|3|1|.875|0|0|0|0||
24|Kirk Ferentz|1999|2019|Iowa|21|266|162|104|0|.609|17|9|8|0|.529|
25|Lou Ferry|1970|1974|Villanova|5|47|20|26|1|.436|0|0|0|0||
26|Craig Fertig|1976|1979|Oregon State|4|45|8|36|1|.189|0|0|0|0||record adjusted to 10-34-1 by NCAA
27|Frosty Ferzacca|1954|1955|Marquette|2|18|5|11|2|.333|0|0|0|0||
28|Wesley Fesler|1946|1953|Minnesota|8|73|34|31|8|.521|1|1|0|0|1.000|
29|Doug Fessenden|1935|1948|Montana|10|90|46|40|4|.533|0|0|0|0||
30|Bob Fetzer|1921|1925|North Carolina|5|46|30|12|4|.696|0|0|0|0||
31|William Fetzer|1915|1925|North Carolina|11|96|61|28|7|.672|0|0|0|0||
32|Luke Fickell|2011|2019|Cincinnati|4|52|32|20|0|.615|3|2|1|0|.667|
33|John Field|1911|1911|Yale|1|10|7|2|1|.750|0|0|0|0||
34|John Fike|1915|1918|Denver|4|28|20|7|1|.732|0|0|0|0||
35|Jedd Fisch|2017|2017|UCLA|1|2|1|1|0|.500|1|0|1|0|.000|
36|Lud Fiser|1945|1945|Kansas State|1|8|1|7|0|.125|0|0|0|0||
37|H.E. Fisher|1902|1903|Tennessee|2|17|10|7|0|.588|0|0|0|0||
38|Jimbo Fisher|2010|2019|Texas A&M|10|132|100|32|0|.758|9|7|2|0|.778|
39|Robert Fisher|1919|1925|Harvard|7|62|43|14|5|.734|1|1|0|0|1.000|
40|Tuffy Fisk|1905|1905|Grinnell|1|10|7|2|1|.750|0|0|0|0||
41|Dennis Fitzgerald|1975|1977|Kent State|3|34|18|16|0|.529|0|0|0|0||
42|Pat Fitzgerald|2006|2019|Northwestern|14|178|99|79|0|.556|9|4|5|0|.444|
43|J.J. Fitzpatrick|1918|1918|Washington & Lee|1|3|1|2|0|.333|0|0|0|0||
44|Thomas Fitzpatrick|1919|1924|Utah|6|43|23|17|3|.570|0|0|0|0||
45|Ray Flaherty|1930|1930|Gonzaga|1|9|1|7|1|.167|0|0|0|0||
46|P.J. Fleck|2013|2019|Minnesota|7|90|53|37|0|.589|5|3|2|0|.600|
47|Red Fleming|1919|1919|Virginia Military Institute|1|8|6|2|0|.750|0|0|0|0||
48|Kyle Flood|2012|2015|Rutgers|4|51|27|24|0|.529|3|1|2|0|.333|
49|Red Floyd|1929|1929|Auburn|1|4|0|4|0|.000|0|0|0|0||
50|Dick Flynn|1994|1999|Central Michigan|6|67|30|37|0|.448|1|0|1|0|.000|
51|Hank Foldberg|1960|1964|Texas A&M|5|51|22|28|1|.441|1|0|1|0|.000|
52|Ed Foley|2016|2018|Temple|2|2|0|2|0|.000|2|0|2|0|.000|
53|Fred Folsom|1902|1915|Dartmouth|13|98|74|19|5|.781|0|0|0|0||
54|Bob Folwell|1912|1915|Washington & Jefferson|4|44|36|5|3|.852|0|0|0|0||
55|W. Cameron Forbes|1897|1898|Harvard|2|23|21|1|1|.935|0|0|0|0||
56|Danny Ford|1978|1997|Arkansas|17|186|121|60|5|.664|9|6|3|0|.667|record adjusted to 122-59-5 by NCAA
57|Rick Forzano|1969|1972|Navy|4|43|10|33|0|.233|0|0|0|0||
58|Amos Foster|1906|1906|Nebraska|1|10|6|4|0|.600|0|0|0|0||
59|Dixon Foster|1917|1919|South Carolina|2|17|4|12|1|.265|0|0|0|0||
60|Ora Fowler|1904|1905|Denver|2|17|5|10|2|.353|0|0|0|0||
61|Dennis Franchione|1992|2015|Texas State|20|238|127|111|0|.534|7|3|4|0|.429|
62|Sam Francis|1947|1947|Kansas State|1|10|0|10|0|.000|0|0|0|0||
63|James Franklin|2011|2019|Penn State|9|118|80|38|0|.678|9|5|4|0|.556|
